Date,Open,High,Low,Close,Adj Close,Volume
2015-06-26,135.339996,135.880005,135.149994,135.460007,117.289246,138900
2015-06-29,134.100006,134.130005,132.399994,132.449997,114.682999,191100
2015-06-30,134.220001,134.479996,133.550003,133.750000,115.808617,216300
2015-07-01,133.720001,133.839996,133.139999,133.600006,115.678757,157100
2015-07-02,132.720001,132.929993,132.429993,132.750000,114.942772,276800
2015-07-06,132.250000,133.100006,132.130005,132.729996,114.925446,132000
2015-07-07,132.259995,132.539993,130.750000,132.380005,114.622398,288600
2015-07-08,130.110001,130.139999,127.940002,128.110001,110.925179,717300
2015-07-09,130.160004,130.529999,128.929993,129.029999,111.721771,186900
2015-07-10,130.559998,131.869995,129.919998,131.520004,113.877762,401900
2015-07-13,133.020004,133.619995,133.020004,133.440002,115.540215,214900
2015-07-14,133.130005,133.699997,132.929993,133.449997,115.548859,195300
2015-07-15,134.070007,134.619995,133.789993,133.990005,116.016434,294100
2015-07-16,136.240005,136.389999,135.660004,135.770004,117.557671,441200
2015-07-17,134.699997,135.490005,134.699997,135.360001,117.202652,186100
2015-07-20,135.789993,136.110001,135.410004,135.539993,117.358498,353700
2015-07-21,134.910004,135.029999,134.149994,134.559998,116.509972,200500
2015-07-22,133.800003,134.429993,133.800003,133.990005,116.016434,196400
2015-07-23,133.690002,133.919998,133.080002,133.250000,115.375687,196100
2015-07-24,133.619995,133.889999,132.320007,132.550003,114.769600,130200
2015-07-27,131.500000,131.869995,131.210007,131.789993,114.111534,187700
2015-07-28,131.080002,131.919998,130.369995,131.839996,114.154831,383500
2015-07-29,131.710007,132.839996,131.600006,132.570007,114.786911,212500
2015-07-30,132.000000,132.429993,131.250000,132.270004,114.527145,270100
2015-07-31,133.509995,133.710007,133.050003,133.460007,115.557541,226200
2015-08-03,132.440002,133.389999,132.000000,133.179993,115.315094,315100
2015-08-04,131.369995,131.389999,128.380005,129.850006,112.431763,515200
2015-08-05,128.660004,128.979996,128.169998,128.309998,111.098343,476500
2015-08-06,128.960007,129.449997,128.649994,128.809998,111.531288,278800
2015-08-07,129.860001,130.000000,129.520004,129.949997,112.518349,163900
2015-08-10,130.500000,131.429993,130.070007,131.089996,113.505432,300900
2015-08-11,129.649994,129.649994,128.690002,129.009995,111.704453,236100
2015-08-12,127.290001,127.690002,126.029999,127.419998,110.327744,768000
2015-08-13,127.150002,128.149994,126.860001,127.790001,110.648102,188700
2015-08-14,127.790001,128.240005,127.580002,128.190002,110.994446,130600
2015-08-17,127.500000,127.989998,127.099998,127.870003,110.717369,155700
2015-08-18,127.610001,128.070007,127.440002,127.870003,110.717369,185400
2015-08-19,126.389999,127.010002,125.669998,126.040001,109.132851,286500
2015-08-20,124.540001,124.540001,122.449997,122.500000,106.067703,536700
2015-08-21,122.099998,122.459999,118.910004,119.050003,103.080505,504600
2015-08-24,110.230003,116.050003,109.070000,113.519997,98.292290,1009000
2015-08-25,117.709999,117.709999,113.370003,113.370003,98.162422,576800
2015-08-26,116.800003,117.949997,115.059998,117.839996,102.032814,395600
2015-08-27,118.669998,119.879997,118.320000,119.570000,103.530739,399600
